"X50.","X5.","X95.","CAS","Css_h","BMD50.Css","BMD5.Css","BMD95.Css"
49.739271905,37.123548821,113.67690341,"91-20-3",15.79,785.38310337995,586.18083588359,1794.9583048439
65.938123945,21.3952109245,145.727377075,"206-44-0",8.101,534.164742078445,173.322603699374,1180.53748168458
37.3263266,20.1518199085,120.47986209,"83-32-9",18.25,681.20546045,367.770713330125,2198.7574831425
1.688479804,0.00939192815,5.1086583475,"92-87-5",1.26,2.12748455304,0.011833829469,6.43690951785
71.826074575,27.980065643,154.403343715,"106-44-5",0.1851,13.2950064038325,5.1791101505193,28.5800589216465
74.47902939,35.2865835915,295.259155019999,"87-61-6",13.89,1034.5137182271,490.130646085935,4101.14966322779
0.004757083,0.0027140231,0.0086822167,"60-57-1",1624,7.725502792,4.4075735144,14.0999199208
0.1683110455,0.0668949463,0.5042828154,"309-00-2",12690,2135.867167395,848.896868547,6399.348927426
0.7431446575,0.0088357987,2.78532775875,"76-44-8",33.34,24.77644288105,0.294585528658,92.862827476725
0.0002097945,9.444227e-05,0.00733770535,"58-89-9",205.5,0.04311276975,0.019407886485,1.507898449425
0.141385534,0.01898837275,0.86999276965,"87-86-5",10.52,1.48737581768,0.19975768133,9.152323936718
0.1293596165,0.06642461305,2.1693193946,"86-50-0",0.2244,0.0290282979426,0.01490568316842,0.48679527214824
0.499579684,0.0738073733,4.2815778258,"115-32-2",54.82,27.38695827688,4.046120204306,234.716096410356
0.5130852155,0.0910521339,1.5289443098,"115-29-7",66.8,34.2740923954,6.08228254452,102.13347989464
0.026410368,0.01271275035,0.656031427,"2921-88-2",40.52,1.07014811136,0.515120644182,26.58239342204
