X50.,X5.,X95.,CAS,Css,HED50.Css,HED5.Css,HED95.Css
4.74419912,1.066806284,22.02791552,91-20-3,15.79,74.9109041,16.84487122,347.820786
3.106567721,0.521690615,17.40666532,206-44-0,8.101,25.16630511,4.226215674,141.0113957
1.816908113,0.353078475,10.49972471,83-32-9,18.25,33.15857306,6.443682176,191.619976
0.170944438,0.000916567,0.563365484,92-87-5,1.26,0.215389992,0.001154874,0.70984051
14.0808685,2.604063674,74.73219901,106-44-5,0.1851,2.60636876,0.482012186,13.83293004
13.61892379,6.415775486,58.38763401,87-61-6,13.89,189.1668514,89.1151215,811.0042364
0.000912773,0.000513771,0.001785963,60-57-1,1624,1.48234362,0.834364438,2.900404219
0.036737447,0.014437822,0.111467455,309-00-2,12690,466.1981982,183.2159672,1414.522008
0.127602194,0.001502973,0.526410133,76-44-8,33.34,4.254257162,0.050109116,17.55051382
1.95E-05,8.08E-06,0.000671441,58-89-9,205.5,0.003998387,0.001660043,0.137981126
0.079274053,0.010556633,0.488813848,87-86-5,10.52,0.833963038,0.111055782,5.14232168
0.076287512,0.038263023,1.222538261,86-50-0,0.2244,0.017118918,0.008586222,0.274337586
0.278993219,0.041102471,2.371983549,115-32-2,54.82,15.29440827,2.253237483,130.0321382
0.129112862,0.020698724,0.371399496,115-29-7,66.8,8.624739207,1.382674784,24.80948631
0.00575387,0.002618441,0.136957925,2921-88-2,40.52,0.233146807,0.10609921,5.549535126
