"X50.","X5.","X95.","CAS","Css","HED50.Css","HED5.Css","HED95.Css"
0.514600560006204,0.017168334511202,2.74210032678296,"100-01-6",804.6,414.047610580992,13.8136419477131,2206.29392292957
19.4796053290897,11.7863951109133,64.6803919268191,"105-60-2",5.442,106.008012200906,64.1415621935902,351.99069286575
1.96867930786894,0.749836678029828,10.9657552442885,"106-46-7",0.6005,1.1821919243753,0.450276925156912,6.58493602419524
0.00764273274666986,0.00452194196410366,0.0138610098171312,"106-47-8",18.05,0.137951326077391,0.0816210524520711,0.250191227199218
8.76041998686955,5.7409135546109,52.786277785872,"108-95-2",0.7144,6.25844403861961,4.10130864341403,37.710516850227
2.29819796029488,0.539718376391303,9.73451598281426,"115-96-8",4.232,9.72597376796793,2.28408816888799,41.19647163927
50.5046856180802,10.0712546565108,69.5688781967632,"117-84-0",853.1,43085.5473007842,8591.78734746936,59349.2099896587
1.07308541090852,0.619574246041599,2.581619669026,"13674-87-8",12.42,13.3277208034838,7.69511213583666,32.0637162893029
1.43371483085383,0.198530172096489,8.88281182676782,"149-30-4",2.941,4.21655531754111,0.583877236135774,26.1243495825242
0.0543257677616316,0.0214313897309246,0.0954379016743162,"1763-23-1",336.5,18.280620851789,7.21166264445613,32.1148539134074
0.0382685997525338,0.0135652982795843,0.0858734142445628,"2385-85-5",5721,218.934659184246,77.6070714575018,491.281802893144
3.08476045133043,1.32984476797069,15.98859381569,"29420-49-3",70.29,216.827812124016,93.4747887406598,1123.83825930485
0.0893169475380276,0.0448633844821841,0.189565371098742,"375-95-1",998.2,89.1561770324592,44.7826303901162,189.224153430764
0.167633745842225,0.0544798925198247,8.12394270898294,"72-55-9",0.1896,0.0317833582116859,0.0103293876217588,1.54029953762317
0.387710849468738,0.183704991828367,0.610419556937584,"75-60-5",3.742,1.45081399871202,0.687424079421749,2.28418998206044
0.766610347935264,0.139532345429668,3.80727980248112,"77-47-4",25010,19172.924801861,3489.703959196,95220.0678600528
298.506158677222,184.273207002893,469.920666026093,"78-93-3",0.07283,21.7402035364621,13.4206176660207,34.2243221066804
20.0820341562743,4.60670063434416,87.7080013417849,"85-68-7",3.863,77.5768979456876,17.7956845504715,338.816009183315
42.7215091364848,21.4245076944457,90.8897580313352,"92-52-4",10.66,455.411287394928,228.385252022791,968.884820614033
0.593240424782174,0.0360854863097745,12.3668232813432,"92-84-2",1079,640.106418339966,38.9362397282467,13343.8023205693
0.0847720998460072,0.0155670114606101,14.8671331472727,"93-76-5",208.4,17.6665056079079,3.24416518839115,3098.31054789163
0.392005246916792,0.113007635639386,3.09438541919854,"95-94-3",59.35,23.2655114045116,6.70700317519756,183.651774629433
0.0253630971718814,0.00512870688926626,0.130689834115832,"98-95-3",0.7494,0.0190071050206079,0.00384345294281613,0.0979389616864045
0.198896442038066,0.0007734608897553,2.26592657483812,"99-08-1",2.055,0.408732188388226,0.00158946212844714,4.65647911129234
0.0160064442312986,0.00384642324317678,0.064542445415524,"99-65-0",8.315,0.133093583783248,0.0319830092670149,0.536670433630082
1.63408820457116,0.580842092319137,4.3600056287449,"99-99-0",0.5573,0.910677356407507,0.323703298049455,2.42983113689953
